prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q2,2,7,decode,cuda:1,126,1,125,125,78,48,48,priority_lru,fp16,1
q2,2,8,decode,cuda:0,132,10,122,122,90,42,42,priority_lru,fp16,1
q2,2,8,decode,cuda:1,126,1,125,125,62,64,64,priority_lru,fp16,1
q2,2,9,decode,cuda:0,132,2,130,130,102,30,30,priority_lru,fp16,1
q2,2,9,decode,cuda:1,126,0,126,126,105,21,21,priority_lru,fp16,1
q2,2,10,decode,cuda:0,132,3,129,129,99,33,33,priority_lru,fp16,1
q2,2,10,decode,cuda:1,126,0,126,126,106,20,20,priority_lru,fp16,1
q2,2,11,decode,cuda:0,132,7,125,125,76,56,56,priority_lru,fp16,1
q2,2,11,decode,cuda:1,126,2,124,124,86,40,40,priority_lru,fp16,1
q2,2,12,decode,cuda:0,132,9,123,123,90,42,42,priority_lru,fp16,1
q2,2,12,decode,cuda:1,126,0,126,126,103,23,23,priority_lru,fp16,1
q2,2,13,decode,cuda:0,132,4,128,128,71,61,61,priority_lru,fp16,1
q2,2,13,decode,cuda:1,126,0,126,126,106,20,20,priority_lru,fp16,1
q2,2,14,decode,cuda:0,132,8,124,124,85,47,47,priority_lru,fp16,1
q2,2,14,decode,cuda:1,126,2,124,124,97,29,29,priority_lru,fp16,1
q2,2,15,decode,cuda:0,132,4,128,128,81,51,51,priority_lru,fp16,1
q2,2,15,decode,cuda:1,126,1,125,125,95,31,31,priority_lru,fp16,1
q2,2,0,prefill,pooled,1514,11,1503,1503,200,1314,1314,priority_lru,fp16,1
q2,2,1,decode,pooled,258,16,242,242,169,89,89,priority_lru,fp16,1
q2,2,2,decode,pooled,258,9,249,249,164,94,94,priority_lru,fp16,1
q2,2,3,decode,pooled,258,5,253,253,175,83,83,priority_lru,fp16,1
q2,2,4,decode,pooled,258,1,257,257,128,130,130,priority_lru,fp16,1
q2,2,5,decode,pooled,258,2,256,256,167,91,91,priority_lru,fp16,1
q2,2,6,decode,pooled,258,1,257,257,143,115,115,priority_lru,fp16,1
q2,2,7,decode,pooled,258,4,254,254,161,97,97,priority_lru,fp16,1
q2,2,8,decode,pooled,258,11,247,247,152,106,106,priority_lru,fp16,1
q2,2,9,decode,pooled,258,2,256,256,207,51,51,priority_lru,fp16,1
q2,2,10,decode,pooled,258,3,255,255,205,53,53,priority_lru,fp16,1
q2,2,11,decode,pooled,258,9,249,249,162,96,96,priority_lru,fp16,1
q2,2,12,decode,pooled,258,9,249,249,193,65,65,priority_lru,fp16,1
q2,2,13,decode,pooled,258,4,254,254,177,81,81,priority_lru,fp16,1
q2,2,14,decode,pooled,258,10,248,248,182,76,76,priority_lru,fp16,1
q2,2,15,decode,pooled,258,5,253,253,176,82,82,priority_lru,fp16,1
