prompt,prompt_idx,device,requests,requests_prefill,requests_decode,raw_picks,dup_eliminated,first_touch_requests,repeat_requests,vram_hits,vram_hits_prefill,vram_hits_decode,vram_inflight,vram_cold_loads,vram_cold_prefill,vram_cold_decode,vram_evictions,vram_resident_end,vram_pinned_skipped,belady_vram_hits_bound,host_consults,host_hits,host_hits_prefill,host_hits_decode,host_misses,host_misses_prefill,host_misses_decode,host_evictions,host_entries_end,vram_miss_host_hit,vram_miss_host_miss,hits_on_prewarmed,store_reads,h2d_bytes,store_bytes,h2d_mib,store_mib,generated_tokens,h2d_mib_per_gen_token,store_mib_per_gen_token,hit_rate_vram,hit_rate_host_of_consults,hit_rate_host_of_vram_misses,hit_rate_e2e_store_avoid,vram_hits_per_raw_pick,requests_per_raw_pick,reuse_n,reuse_p50,reuse_p90,reuse_p99,reuse_cdf,vram_gib,vram_dtype,vram_slots,vram_policy,host_gib,host_records,host_scope,host_consult,queue_depth,regime,persist,journal_sha256
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,2841,1147,0,1147,1694,861,833,1012,682,1061,1683,0,1694,36685479936,22647668736,34986.0,21598.5,16,2186.62,1349.91,0.03414290742696234,0.4037310806054206,0.38666180758017493,0.4037310806054206,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,65,0,65,0,2606,781,1825,2532,74,17638,979,2671,1385,0,1385,1286,781,505,604,682,1321,1285,0,1286,34840510464,17192976384,33226.5,16396.5,16,2076.66,1024.78,0.024335454885810556,0.5185323848745788,0.5069071373752878,0.5185323848745789,0.019106407995296885,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,162,0,162,0,5350,1642,3708,5202,148,0,1742,5512,2532,0,2532,2980,1642,1338,1616,1364,2382,2968,0,2980,71525990400,39840645120,68212.5,37995.0,16,4263.28,2374.69,0.02939042089985486,0.4593613933236575,0.4452336448598131,0.45936139332365744,0.023255813953488372,0.7912718920470858,0,,,,,3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q1,1,cuda:0,2836,856,1980,3696,860,1241,1595,156,4,152,0,2680,852,1828,2680,74,22416,906,2836,1335,58,1277,1501,798,703,1501,682,1213,1467,0,1501,35829841920,20067385344,34170.0,19137.75,16,2135.62,1196.11,0.05500705218617771,0.47073342736248236,0.4526119402985075,0.47073342736248236,0.04220779220779221,0.7673160173160173,1595,264,1485,2127,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.43009404388714734, ""281"": 0.5460815047021944, ""512"": 0.6156739811912225, ""682"": 0.7184952978056426, ""1024"": 0.7918495297805642}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,0d4f1a12e469b6aae4587559090f2d649df04525bc5d4c1636299e61f549ebd2
q1,1,cuda:1,2666,776,1890,3528,862,1176,1490,131,14,117,0,2535,762,1773,2535,74,18622,956,2666,1389,47,1342,1277,729,548,1277,682,1281,1254,0,1277,33891287040,17072652288,32321.25,16281.75,16,2020.08,1017.61,0.04913728432108027,0.5210052513128282,0.5053254437869823,0.5210052513128283,0.03713151927437642,0.7556689342403629,1490,128,1141,1896,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5040268456375839, ""192"": 0.5140939597315436, ""281"": 0.6161073825503356, ""512"": 0.723489932885906, ""682"": 0.7885906040268457, ""1024"": 0.8825503355704698}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,0d4f1a12e469b6aae4587559090f2d649df04525bc5d4c1636299e61f549ebd2
q1,1,pooled,5502,1632,3870,7224,1722,2417,3085,287,18,269,0,5215,1614,3601,5215,148,0,1862,5502,2724,105,2619,2778,1527,1251,2778,1364,2494,2721,0,2778,69721128960,37140037632,66491.25,35419.5,16,4155.7,2213.72,0.05216284987277354,0.495092693565976,0.47823585810162994,0.49509269356597596,0.03972868217054264,0.7616279069767442,0,,,,,3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,0d4f1a12e469b6aae4587559090f2d649df04525bc5d4c1636299e61f549ebd2
q2,2,cuda:0,2763,783,1980,3300,537,1379,1384,76,5,71,0,2687,778,1909,2687,74,19097,802,2763,1337,103,1234,1426,680,746,1426,682,1283,1404,0,1426,35923427328,19064684544,34259.25,18181.5,16,2141.2,1136.34,0.027506333695258775,0.48389431777053926,0.4774841831038333,0.48389431777053926,0.02303030303030303,0.8372727272727273,1384,268,1005,2185,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.000722543352601156, ""192"": 0.34971098265895956, ""281"": 0.5028901734104047, ""512"": 0.7261560693641619, ""682"": 0.8157514450867052, ""1024"": 0.9053468208092486}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,ee0808ddfc216eb7d519390bb2965784806f66e6662ca74fedc7458d922d1f7b
q2,2,cuda:1,2621,731,1890,3150,529,1193,1428,26,6,20,0,2595,725,1870,2595,74,17157,934,2621,1424,97,1327,1197,634,563,1197,682,1412,1183,0,1197,34693447680,16003104768,33086.25,15261.75,16,2067.89,953.86,0.009919877909194963,0.5433040824112934,0.5441233140655106,0.5433040824112934,0.008253968253968255,0.8320634920634921,1428,127,883,1881,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.538515406162465, ""192"": 0.5469187675070029, ""281"": 0.65406162464986, ""512"": 0.7857142857142857, ""682"": 0.8312324929971989, ""1024"": 0.9187675070028011}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,ee0808ddfc216eb7d519390bb2965784806f66e6662ca74fedc7458d922d1f7b
q2,2,pooled,5384,1514,3870,6450,1066,2572,2812,102,11,91,0,5282,1503,3779,5282,148,0,1736,5384,2761,200,2561,2623,1314,1309,2623,1364,2695,2587,0,2623,70616875008,35067789312,67345.5,33443.25,16,4209.09,2090.2,0.018945022288261514,0.512815750371471,0.5102234002271867,0.512815750371471,0.01581395348837209,0.8347286821705426,0,,,,,3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,ee0808ddfc216eb7d519390bb2965784806f66e6662ca74fedc7458d922d1f7b
