prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,0,prefill,cuda:0,861,0,861,580,0,861,179,lru,fp4,1
q0,0,0,prefill,cuda:1,781,0,781,500,0,781,99,lru,fp4,1
q0,0,1,decode,cuda:0,132,17,115,115,83,49,49,lru,fp4,1
q0,0,1,decode,cuda:1,126,19,107,107,79,47,47,lru,fp4,1
q0,0,2,decode,cuda:0,132,13,119,119,69,63,63,lru,fp4,1
q0,0,2,decode,cuda:1,126,57,69,69,83,43,43,lru,fp4,1
q0,0,3,decode,cuda:0,132,63,69,69,79,53,53,lru,fp4,1
q0,0,3,decode,cuda:1,126,65,61,61,84,42,42,lru,fp4,1
q0,0,4,decode,cuda:0,132,63,69,69,77,55,55,lru,fp4,1
q0,0,4,decode,cuda:1,126,76,50,50,93,33,33,lru,fp4,1
q0,0,5,decode,cuda:0,132,55,77,77,74,58,58,lru,fp4,1
q0,0,5,decode,cuda:1,126,82,44,44,100,26,26,lru,fp4,1
q0,0,6,decode,cuda:0,132,50,82,82,71,61,61,lru,fp4,1
q0,0,6,decode,cuda:1,126,71,55,55,92,34,34,lru,fp4,1
q0,0,7,decode,cuda:0,132,67,65,65,76,56,56,lru,fp4,1
q0,0,7,decode,cuda:1,126,89,37,37,98,28,28,lru,fp4,1
q0,0,8,decode,cuda:0,132,65,67,67,81,51,51,lru,fp4,1
q0,0,8,decode,cuda:1,126,75,51,51,87,39,39,lru,fp4,1
q0,0,9,decode,cuda:0,132,51,81,81,64,68,68,lru,fp4,1
q0,0,9,decode,cuda:1,126,72,54,54,86,40,40,lru,fp4,1
q0,0,10,decode,cuda:0,132,49,83,83,73,59,59,lru,fp4,1
q0,0,10,decode,cuda:1,126,70,56,56,76,50,50,lru,fp4,1
q0,0,11,decode,cuda:0,132,57,75,75,89,43,43,lru,fp4,1
q0,0,11,decode,cuda:1,126,77,49,49,93,33,33,lru,fp4,1
q0,0,12,decode,cuda:0,132,31,101,101,62,70,70,lru,fp4,1
q0,0,12,decode,cuda:1,126,76,50,50,98,28,28,lru,fp4,1
q0,0,13,decode,cuda:0,132,50,82,82,87,45,45,lru,fp4,1
q0,0,13,decode,cuda:1,126,82,44,44,104,22,22,lru,fp4,1
q0,0,14,decode,cuda:0,132,58,74,74,76,56,56,lru,fp4,1
q0,0,14,decode,cuda:1,126,85,41,41,107,19,19,lru,fp4,1
q0,0,15,decode,cuda:0,132,62,70,70,86,46,46,lru,fp4,1
q0,0,15,decode,cuda:1,126,86,40,40,105,21,21,lru,fp4,1
q0,0,0,prefill,pooled,1642,0,1642,1080,0,1642,278,lru,fp4,1
q0,0,1,decode,pooled,258,36,222,222,162,96,96,lru,fp4,1
q0,0,2,decode,pooled,258,70,188,188,152,106,106,lru,fp4,1
q0,0,3,decode,pooled,258,128,130,130,163,95,95,lru,fp4,1
q0,0,4,decode,pooled,258,139,119,119,170,88,88,lru,fp4,1
q0,0,5,decode,pooled,258,137,121,121,174,84,84,lru,fp4,1
q0,0,6,decode,pooled,258,121,137,137,163,95,95,lru,fp4,1
q0,0,7,decode,pooled,258,156,102,102,174,84,84,lru,fp4,1
q0,0,8,decode,pooled,258,140,118,118,168,90,90,lru,fp4,1
q0,0,9,decode,pooled,258,123,135,135,150,108,108,lru,fp4,1
q0,0,10,decode,pooled,258,119,139,139,149,109,109,lru,fp4,1
q0,0,11,decode,pooled,258,134,124,124,182,76,76,lru,fp4,1
q0,0,12,decode,pooled,258,107,151,151,160,98,98,lru,fp4,1
q0,0,13,decode,pooled,258,132,126,126,191,67,67,lru,fp4,1
q0,0,14,decode,pooled,258,143,115,115,183,75,75,lru,fp4,1
q0,0,15,decode,pooled,258,148,110,110,191,67,67,lru,fp4,1
q0,0,0,prefill,cuda:0,861,0,861,580,0,861,179,priority_lru,fp4,1
q0,0,0,prefill,cuda:1,781,0,781,500,0,781,99,priority_lru,fp4,1
q0,0,1,decode,cuda:0,132,18,114,114,83,49,49,priority_lru,fp4,1
q0,0,1,decode,cuda:1,126,26,100,100,79,47,47,priority_lru,fp4,1
q0,0,2,decode,cuda:0,132,27,105,105,69,63,63,priority_lru,fp4,1
q0,0,2,decode,cuda:1,126,19,107,107,83,43,43,priority_lru,fp4,1
q0,0,3,decode,cuda:0,132,15,117,117,79,53,53,priority_lru,fp4,1
q0,0,3,decode,cuda:1,126,24,102,102,84,42,42,priority_lru,fp4,1
q0,0,4,decode,cuda:0,132,28,104,104,77,55,55,priority_lru,fp4,1
q0,0,4,decode,cuda:1,126,21,105,105,93,33,33,priority_lru,fp4,1
q0,0,5,decode,cuda:0,132,24,108,108,74,58,58,priority_lru,fp4,1
q0,0,5,decode,cuda:1,126,18,108,108,100,26,26,priority_lru,fp4,1
q0,0,6,decode,cuda:0,132,19,113,113,71,61,61,priority_lru,fp4,1
q0,0,6,decode,cuda:1,126,15,111,111,92,34,34,priority_lru,fp4,1
q0,0,7,decode,cuda:0,132,15,117,117,76,56,56,priority_lru,fp4,1
q0,0,7,decode,cuda:1,126,19,107,107,98,28,28,priority_lru,fp4,1
q0,0,8,decode,cuda:0,132,19,113,113,81,51,51,priority_lru,fp4,1
q0,0,8,decode,cuda:1,126,17,109,109,87,39,39,priority_lru,fp4,1
q0,0,9,decode,cuda:0,132,16,116,116,64,68,68,priority_lru,fp4,1
q0,0,9,decode,cuda:1,126,21,105,105,86,40,40,priority_lru,fp4,1
q0,0,10,decode,cuda:0,132,19,113,113,73,59,59,priority_lru,fp4,1
q0,0,10,decode,cuda:1,126,11,115,115,76,50,50,priority_lru,fp4,1
q0,0,11,decode,cuda:0,132,14,118,118,89,43,43,priority_lru,fp4,1
q0,0,11,decode,cuda:1,126,18,108,108,93,33,33,priority_lru,fp4,1
q0,0,12,decode,cuda:0,132,13,119,119,62,70,70,priority_lru,fp4,1
q0,0,12,decode,cuda:1,126,19,107,107,98,28,28,priority_lru,fp4,1
q0,0,13,decode,cuda:0,132,14,118,118,87,45,45,priority_lru,fp4,1
q0,0,13,decode,cuda:1,126,18,108,108,104,22,22,priority_lru,fp4,1
q0,0,14,decode,cuda:0,132,17,115,115,76,56,56,priority_lru,fp4,1
q0,0,14,decode,cuda:1,126,20,106,106,107,19,19,priority_lru,fp4,1
q0,0,15,decode,cuda:0,132,9,123,123,86,46,46,priority_lru,fp4,1
q0,0,15,decode,cuda:1,126,19,107,107,105,21,21,priority_lru,fp4,1
q0,0,0,prefill,pooled,1642,0,1642,1080,0,1642,278,priority_lru,fp4,1
q0,0,1,decode,pooled,258,44,214,214,162,96,96,priority_lru,fp4,1
q0,0,2,decode,pooled,258,46,212,212,152,106,106,priority_lru,fp4,1
q0,0,3,decode,pooled,258,39,219,219,163,95,95,priority_lru,fp4,1
q0,0,4,decode,pooled,258,49,209,209,170,88,88,priority_lru,fp4,1
q0,0,5,decode,pooled,258,42,216,216,174,84,84,priority_lru,fp4,1
q0,0,6,decode,pooled,258,34,224,224,163,95,95,priority_lru,fp4,1
q0,0,7,decode,pooled,258,34,224,224,174,84,84,priority_lru,fp4,1
q0,0,8,decode,pooled,258,36,222,222,168,90,90,priority_lru,fp4,1
q0,0,9,decode,pooled,258,37,221,221,150,108,108,priority_lru,fp4,1
q0,0,10,decode,pooled,258,30,228,228,149,109,109,priority_lru,fp4,1
q0,0,11,decode,pooled,258,32,226,226,182,76,76,priority_lru,fp4,1
q0,0,12,decode,pooled,258,32,226,226,160,98,98,priority_lru,fp4,1
q0,0,13,decode,pooled,258,32,226,226,191,67,67,priority_lru,fp4,1
q0,0,14,decode,pooled,258,37,221,221,183,75,75,priority_lru,fp4,1
q0,0,15,decode,pooled,258,28,230,230,191,67,67,priority_lru,fp4,1
q0,0,0,prefill,cuda:0,861,0,861,580,0,861,179,lfu,fp4,1
q0,0,0,prefill,cuda:1,781,0,781,500,0,781,99,lfu,fp4,1
q0,0,1,decode,cuda:0,132,17,115,115,83,49,49,lfu,fp4,1
q0,0,1,decode,cuda:1,126,19,107,107,79,47,47,lfu,fp4,1
q0,0,2,decode,cuda:0,132,13,119,119,69,63,63,lfu,fp4,1
q0,0,2,decode,cuda:1,126,57,69,69,83,43,43,lfu,fp4,1
q0,0,3,decode,cuda:0,132,63,69,69,79,53,53,lfu,fp4,1
q0,0,3,decode,cuda:1,126,65,61,61,84,42,42,lfu,fp4,1
q0,0,4,decode,cuda:0,132,63,69,69,77,55,55,lfu,fp4,1
q0,0,4,decode,cuda:1,126,76,50,50,93,33,33,lfu,fp4,1
q0,0,5,decode,cuda:0,132,59,73,73,74,58,58,lfu,fp4,1
q0,0,5,decode,cuda:1,126,83,43,43,100,26,26,lfu,fp4,1
q0,0,6,decode,cuda:0,132,48,84,84,71,61,61,lfu,fp4,1
q0,0,6,decode,cuda:1,126,74,52,52,92,34,34,lfu,fp4,1
q0,0,7,decode,cuda:0,132,68,64,64,76,56,56,lfu,fp4,1
q0,0,7,decode,cuda:1,126,91,35,35,98,28,28,lfu,fp4,1
q0,0,8,decode,cuda:0,132,63,69,69,81,51,51,lfu,fp4,1
q0,0,8,decode,cuda:1,126,72,54,54,87,39,39,lfu,fp4,1
q0,0,9,decode,cuda:0,132,51,81,81,64,68,68,lfu,fp4,1
q0,0,9,decode,cuda:1,126,72,54,54,86,40,40,lfu,fp4,1
q0,0,10,decode,cuda:0,132,39,93,93,73,59,59,lfu,fp4,1
q0,0,10,decode,cuda:1,126,70,56,56,76,50,50,lfu,fp4,1
q0,0,11,decode,cuda:0,132,61,71,71,89,43,43,lfu,fp4,1
q0,0,11,decode,cuda:1,126,74,52,52,93,33,33,lfu,fp4,1
q0,0,12,decode,cuda:0,132,41,91,91,62,70,70,lfu,fp4,1
q0,0,12,decode,cuda:1,126,81,45,45,98,28,28,lfu,fp4,1
q0,0,13,decode,cuda:0,132,58,74,74,87,45,45,lfu,fp4,1
q0,0,13,decode,cuda:1,126,89,37,37,104,22,22,lfu,fp4,1
q0,0,14,decode,cuda:0,132,57,75,75,76,56,56,lfu,fp4,1
q0,0,14,decode,cuda:1,126,98,28,28,107,19,19,lfu,fp4,1
q0,0,15,decode,cuda:0,132,69,63,63,86,46,46,lfu,fp4,1
q0,0,15,decode,cuda:1,126,86,40,40,105,21,21,lfu,fp4,1
q0,0,0,prefill,pooled,1642,0,1642,1080,0,1642,278,lfu,fp4,1
q0,0,1,decode,pooled,258,36,222,222,162,96,96,lfu,fp4,1
q0,0,2,decode,pooled,258,70,188,188,152,106,106,lfu,fp4,1
q0,0,3,decode,pooled,258,128,130,130,163,95,95,lfu,fp4,1
q0,0,4,decode,pooled,258,139,119,119,170,88,88,lfu,fp4,1
q0,0,5,decode,pooled,258,142,116,116,174,84,84,lfu,fp4,1
q0,0,6,decode,pooled,258,122,136,136,163,95,95,lfu,fp4,1
q0,0,7,decode,pooled,258,159,99,99,174,84,84,lfu,fp4,1
q0,0,8,decode,pooled,258,135,123,123,168,90,90,lfu,fp4,1
q0,0,9,decode,pooled,258,123,135,135,150,108,108,lfu,fp4,1
q0,0,10,decode,pooled,258,109,149,149,149,109,109,lfu,fp4,1
q0,0,11,decode,pooled,258,135,123,123,182,76,76,lfu,fp4,1
q0,0,12,decode,pooled,258,122,136,136,160,98,98,lfu,fp4,1
q0,0,13,decode,pooled,258,147,111,111,191,67,67,lfu,fp4,1
q0,0,14,decode,pooled,258,155,103,103,183,75,75,lfu,fp4,1
q0,0,15,decode,pooled,258,155,103,103,191,67,67,lfu,fp4,1
q0,0,0,prefill,cuda:0,861,0,861,580,0,861,179,freq_x_recency,fp4,1
q0,0,0,prefill,cuda:1,781,0,781,500,0,781,99,freq_x_recency,fp4,1
q0,0,1,decode,cuda:0,132,17,115,115,83,49,49,freq_x_recency,fp4,1
q0,0,1,decode,cuda:1,126,19,107,107,79,47,47,freq_x_recency,fp4,1
q0,0,2,decode,cuda:0,132,13,119,119,69,63,63,freq_x_recency,fp4,1
q0,0,2,decode,cuda:1,126,57,69,69,83,43,43,freq_x_recency,fp4,1
q0,0,3,decode,cuda:0,132,63,69,69,79,53,53,freq_x_recency,fp4,1
q0,0,3,decode,cuda:1,126,65,61,61,84,42,42,freq_x_recency,fp4,1
q0,0,4,decode,cuda:0,132,63,69,69,77,55,55,freq_x_recency,fp4,1
q0,0,4,decode,cuda:1,126,76,50,50,93,33,33,freq_x_recency,fp4,1
q0,0,5,decode,cuda:0,132,59,73,73,74,58,58,freq_x_recency,fp4,1
q0,0,5,decode,cuda:1,126,83,43,43,100,26,26,freq_x_recency,fp4,1
q0,0,6,decode,cuda:0,132,48,84,84,71,61,61,freq_x_recency,fp4,1
q0,0,6,decode,cuda:1,126,74,52,52,92,34,34,freq_x_recency,fp4,1
q0,0,7,decode,cuda:0,132,68,64,64,76,56,56,freq_x_recency,fp4,1
q0,0,7,decode,cuda:1,126,91,35,35,98,28,28,freq_x_recency,fp4,1
q0,0,8,decode,cuda:0,132,63,69,69,81,51,51,freq_x_recency,fp4,1
q0,0,8,decode,cuda:1,126,72,54,54,87,39,39,freq_x_recency,fp4,1
q0,0,9,decode,cuda:0,132,51,81,81,64,68,68,freq_x_recency,fp4,1
q0,0,9,decode,cuda:1,126,72,54,54,86,40,40,freq_x_recency,fp4,1
q0,0,10,decode,cuda:0,132,39,93,93,73,59,59,freq_x_recency,fp4,1
q0,0,10,decode,cuda:1,126,70,56,56,76,50,50,freq_x_recency,fp4,1
q0,0,11,decode,cuda:0,132,61,71,71,89,43,43,freq_x_recency,fp4,1
q0,0,11,decode,cuda:1,126,74,52,52,93,33,33,freq_x_recency,fp4,1
q0,0,12,decode,cuda:0,132,41,91,91,62,70,70,freq_x_recency,fp4,1
q0,0,12,decode,cuda:1,126,81,45,45,98,28,28,freq_x_recency,fp4,1
q0,0,13,decode,cuda:0,132,58,74,74,87,45,45,freq_x_recency,fp4,1
q0,0,13,decode,cuda:1,126,89,37,37,104,22,22,freq_x_recency,fp4,1
q0,0,14,decode,cuda:0,132,57,75,75,76,56,56,freq_x_recency,fp4,1
q0,0,14,decode,cuda:1,126,98,28,28,107,19,19,freq_x_recency,fp4,1
q0,0,15,decode,cuda:0,132,69,63,63,86,46,46,freq_x_recency,fp4,1
q0,0,15,decode,cuda:1,126,86,40,40,105,21,21,freq_x_recency,fp4,1
q0,0,0,prefill,pooled,1642,0,1642,1080,0,1642,278,freq_x_recency,fp4,1
q0,0,1,decode,pooled,258,36,222,222,162,96,96,freq_x_recency,fp4,1
q0,0,2,decode,pooled,258,70,188,188,152,106,106,freq_x_recency,fp4,1
q0,0,3,decode,pooled,258,128,130,130,163,95,95,freq_x_recency,fp4,1
q0,0,4,decode,pooled,258,139,119,119,170,88,88,freq_x_recency,fp4,1
q0,0,5,decode,pooled,258,142,116,116,174,84,84,freq_x_recency,fp4,1
q0,0,6,decode,pooled,258,122,136,136,163,95,95,freq_x_recency,fp4,1
q0,0,7,decode,pooled,258,159,99,99,174,84,84,freq_x_recency,fp4,1
q0,0,8,decode,pooled,258,135,123,123,168,90,90,freq_x_recency,fp4,1
q0,0,9,decode,pooled,258,123,135,135,150,108,108,freq_x_recency,fp4,1
q0,0,10,decode,pooled,258,109,149,149,149,109,109,freq_x_recency,fp4,1
q0,0,11,decode,pooled,258,135,123,123,182,76,76,freq_x_recency,fp4,1
q0,0,12,decode,pooled,258,122,136,136,160,98,98,freq_x_recency,fp4,1
q0,0,13,decode,pooled,258,147,111,111,191,67,67,freq_x_recency,fp4,1
q0,0,14,decode,pooled,258,155,103,103,183,75,75,freq_x_recency,fp4,1
q0,0,15,decode,pooled,258,155,103,103,191,67,67,freq_x_recency,fp4,1
q0,0,0,prefill,cuda:0,861,0,861,805,0,861,179,segmented,fp4,1
q0,0,0,prefill,cuda:1,781,0,781,725,0,781,99,segmented,fp4,1
q0,0,1,decode,cuda:0,132,0,132,132,83,49,49,segmented,fp4,1
q0,0,1,decode,cuda:1,126,0,126,126,79,47,47,segmented,fp4,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,segmented,fp4,1
q0,0,2,decode,cuda:1,126,0,126,126,83,43,43,segmented,fp4,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,segmented,fp4,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,segmented,fp4,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,segmented,fp4,1
q0,0,4,decode,cuda:1,126,0,126,126,93,33,33,segmented,fp4,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,segmented,fp4,1
q0,0,5,decode,cuda:1,126,0,126,126,100,26,26,segmented,fp4,1
q0,0,6,decode,cuda:0,132,0,132,132,71,61,61,segmented,fp4,1
q0,0,6,decode,cuda:1,126,0,126,126,92,34,34,segmented,fp4,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,segmented,fp4,1
q0,0,7,decode,cuda:1,126,0,126,126,98,28,28,segmented,fp4,1
q0,0,8,decode,cuda:0,132,0,132,132,81,51,51,segmented,fp4,1
q0,0,8,decode,cuda:1,126,0,126,126,87,39,39,segmented,fp4,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,segmented,fp4,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,segmented,fp4,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,segmented,fp4,1
