prompt,prompt_idx,device,requests,requests_prefill,requests_decode,raw_picks,dup_eliminated,first_touch_requests,repeat_requests,vram_hits,vram_hits_prefill,vram_hits_decode,vram_inflight,vram_cold_loads,vram_cold_prefill,vram_cold_decode,vram_evictions,vram_resident_end,vram_pinned_skipped,belady_vram_hits_bound,host_consults,host_hits,host_hits_prefill,host_hits_decode,host_misses,host_misses_prefill,host_misses_decode,host_evictions,host_entries_end,vram_miss_host_hit,vram_miss_host_miss,hits_on_prewarmed,store_reads,h2d_bytes,store_bytes,h2d_mib,store_mib,generated_tokens,h2d_mib_per_gen_token,store_mib_per_gen_token,hit_rate_vram,hit_rate_host_of_consults,hit_rate_host_of_vram_misses,hit_rate_e2e_store_avoid,vram_hits_per_raw_pick,requests_per_raw_pick,reuse_n,reuse_p50,reuse_p90,reuse_p99,reuse_cdf,vram_gib,vram_dtype,vram_slots,vram_policy,host_gib,host_records,host_scope,host_consult,queue_depth,regime,persist,journal_sha256
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,751,0,751,0,2090,861,1229,1809,281,13382,1289,2841,1147,0,1147,1694,861,833,1012,682,396,1694,0,1694,27941928960,22647668736,26647.5,21598.5,16,1665.47,1349.91,0.2643435410066878,0.4037310806054206,0.18947368421052632,0.4037310806054206,0.2107182940516274,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp4,281,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,1082,0,1082,0,1589,781,808,1308,281,11518,1461,2671,1385,0,1385,1286,781,505,604,682,303,1286,0,1286,21243887616,17192976384,20259.75,16396.5,16,1266.23,1024.78,0.4050917259453388,0.5185323848745788,0.19068596601636248,0.5185323848745789,0.31804820693709585,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp4,281,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,1833,0,1833,0,3679,1642,2037,3117,562,0,2750,5512,2532,0,2532,2980,1642,1338,1616,1364,699,2980,0,2980,49185816576,39840645120,46907.25,37995.0,16,2931.7,2374.69,0.33254716981132076,0.4593613933236575,0.1899972818700734,0.45936139332365744,0.2631352282515073,0.7912718920470858,0,,,,,3.5,fp4,281,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,267,0,267,0,2574,861,1713,2293,281,15071,1289,2841,1147,0,1147,1694,861,833,1012,682,941,1633,0,1694,34412691456,22647668736,32818.5,21598.5,16,2051.16,1349.91,0.09398099260823653,0.4037310806054206,0.3655788655788656,0.4037310806054206,0.07491582491582492,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp4,281,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,285,0,285,0,2386,781,1605,2105,281,14069,1461,2671,1385,0,1385,1286,781,505,604,682,1122,1264,0,1286,31899254784,17192976384,30421.5,16396.5,16,1901.34,1024.78,0.1067016098839386,0.5185323848745788,0.4702430846605197,0.5185323848745789,0.0837742504409171,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp4,281,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,552,0,552,0,4960,1642,3318,4398,562,0,2750,5512,2532,0,2532,2980,1642,1338,1616,1364,2063,2897,0,2980,66311946240,39840645120,63240.0,37995.0,16,3952.5,2374.69,0.10014513788098693,0.4593613933236575,0.41592741935483873,0.45936139332365744,0.07924203273040482,0.7912718920470858,0,,,,,3.5,fp4,281,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,770,0,770,0,2071,861,1210,1790,281,13332,1289,2841,1147,0,1147,1694,861,833,1012,682,385,1686,0,1694,27687911424,22647668736,26405.25,21598.5,16,1650.33,1349.91,0.27103132699753607,0.4037310806054206,0.1859005311443747,0.4037310806054206,0.21604938271604937,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp4,281,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,1107,0,1107,0,1564,781,783,1283,281,11480,1461,2671,1385,0,1385,1286,781,505,604,682,278,1286,0,1286,20909654016,17192976384,19941.0,16396.5,16,1246.31,1024.78,0.4144515162860352,0.5185323848745788,0.17774936061381075,0.5185323848745789,0.3253968253968254,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp4,281,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,1877,0,1877,0,3635,1642,1993,3073,562,0,2750,5512,2532,0,2532,2980,1642,1338,1616,1364,663,2972,0,2980,48597565440,39840645120,46346.25,37995.0,16,2896.64,2374.69,0.3405297532656023,0.4593613933236575,0.18239339752407152,0.45936139332365744,0.26945162216480045,0.7912718920470858,0,,,,,3.5,fp4,281,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,770,0,770,0,2071,861,1210,1790,281,13332,1289,2841,1147,0,1147,1694,861,833,1012,682,385,1686,0,1694,27687911424,22647668736,26405.25,21598.5,16,1650.33,1349.91,0.27103132699753607,0.4037310806054206,0.1859005311443747,0.4037310806054206,0.21604938271604937,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp4,281,freq_x_recency,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
