layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,113,w1s,zstd_1,262144,51611,,2.391600000919425,0.9837000015977537,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,zstd_3,262144,49541,,1.9117000010737684,0.9298999993916368,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,nib_split_zstd3,262144,49694,,1.6467999994347338,1.1141999984829454,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,order0,262144,,31500.659047199082,,,,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,order1,262144,,31498.96198254647,,,,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,zeros,262144,,,,,,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,113,w1s,lz4_hc,262144,48455,,2310.720499999661,0.3788999983953545,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,zstd_10,262144,43205,,49.74220000076457,0.6164999995235121,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,
0,113,w1s,rans,262144,31505,,2.8454999992391095,,True,,99927d69e23ec611b71f698f73063f4259f06b1cd8f36f8c567d7c508ee50824,model-excluded; decode ~ encode speed class
0,113,w3s,lz4_fast,262144,126123,,0.7487999992008554,0.5669999991368968,True,,8348c9b29acf401b69ebf7db33c36227471ce0dbc25bfac219789f7b280bf0e1,
0,113,w3s,zstd_1,262144,51360,,1.6562000000703847,1.0583000002952758,True,,8348c9b29acf401b69ebf7db33c36227471ce0dbc25bfac219789f7b280bf0e1,
0,113,w3s,zstd_3,262144,49423,,1.939400000992464,1.2968999999429798,True,,8348c9b29acf401b69ebf7db33c36227471ce0dbc25bfac219789f7b280bf0e1,
