prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,15,decode,cuda:0,132,4,128,128,86,46,46,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,105,21,21,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,162,96,96,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,152,106,106,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,163,95,95,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,170,88,88,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,174,84,84,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,163,95,95,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,174,84,84,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,168,90,90,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,150,108,108,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,149,109,109,priority_lru,fp16,1
q0,0,11,decode,pooled,258,7,251,251,182,76,76,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,160,98,98,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,191,67,67,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,183,75,75,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,191,67,67,priority_lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,lfu,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,lfu,fp16,1
q0,0,1,decode,cuda:0,132,0,132,132,83,49,49,lfu,fp16,1
q0,0,1,decode,cuda:1,126,0,126,126,79,47,47,lfu,fp16,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,lfu,fp16,1
q0,0,2,decode,cuda:1,126,0,126,126,83,43,43,lfu,fp16,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,lfu,fp16,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,lfu,fp16,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,lfu,fp16,1
q0,0,4,decode,cuda:1,126,0,126,126,93,33,33,lfu,fp16,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,lfu,fp16,1
q0,0,5,decode,cuda:1,126,0,126,126,100,26,26,lfu,fp16,1
q0,0,6,decode,cuda:0,132,0,132,132,71,61,61,lfu,fp16,1
q0,0,6,decode,cuda:1,126,0,126,126,92,34,34,lfu,fp16,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,lfu,fp16,1
q0,0,7,decode,cuda:1,126,0,126,126,98,28,28,lfu,fp16,1
q0,0,8,decode,cuda:0,132,0,132,132,81,51,51,lfu,fp16,1
q0,0,8,decode,cuda:1,126,0,126,126,87,39,39,lfu,fp16,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,lfu,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,lfu,fp16,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,lfu,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,lfu,fp16,1
q0,0,11,decode,cuda:0,132,0,132,132,89,43,43,lfu,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,lfu,fp16,1
q0,0,12,decode,cuda:0,132,0,132,132,62,70,70,lfu,fp16,1
q0,0,12,decode,cuda:1,126,0,126,126,98,28,28,lfu,fp16,1
q0,0,13,decode,cuda:0,132,0,132,132,87,45,45,lfu,fp16,1
q0,0,13,decode,cuda:1,126,0,126,126,104,22,22,lfu,fp16,1
q0,0,14,decode,cuda:0,132,0,132,132,76,56,56,lfu,fp16,1
q0,0,14,decode,cuda:1,126,0,126,126,107,19,19,lfu,fp16,1
q0,0,15,decode,cuda:0,132,0,132,132,86,46,46,lfu,fp16,1
q0,0,15,decode,cuda:1,126,0,126,126,105,21,21,lfu,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,lfu,fp16,1
q0,0,1,decode,pooled,258,0,258,258,162,96,96,lfu,fp16,1
q0,0,2,decode,pooled,258,0,258,258,152,106,106,lfu,fp16,1
q0,0,3,decode,pooled,258,0,258,258,163,95,95,lfu,fp16,1
q0,0,4,decode,pooled,258,0,258,258,170,88,88,lfu,fp16,1
q0,0,5,decode,pooled,258,0,258,258,174,84,84,lfu,fp16,1
q0,0,6,decode,pooled,258,0,258,258,163,95,95,lfu,fp16,1
q0,0,7,decode,pooled,258,0,258,258,174,84,84,lfu,fp16,1
q0,0,8,decode,pooled,258,0,258,258,168,90,90,lfu,fp16,1
