layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,0,w1s,zstd_3,262144,49622,,2.0717489999810823,0.948942000036368,True,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,nib_split_zstd3,262144,49650,,2.0575840000560675,1.0594360000482084,True,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,order0,262144,,32630.990535079603,,,,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,order1,262144,,32608.501643357125,,,,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,zeros,262144,,,,,,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,0,w1s,lz4_hc,262144,49319,,2331.2757550000356,0.20617799998490227,True,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,zstd_10,262144,43564,,45.046042000024045,0.6714780000152132,True,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,
0,0,w1s,rans,262144,32634,,5.096945999980562,,True,,e2e52dd1cf8e590514eec022f7115e5c1cf7c2305bbe8372f03b1af517b5871a,model-excluded; decode ~ encode speed class
0,0,w3s,lz4_fast,262144,129268,,0.5507570000418127,0.5326479999894218,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,zstd_1,262144,51734,,2.170288000002074,1.1303570000222862,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,zstd_3,262144,49573,,1.944075000039902,0.8339359999922635,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,nib_split_zstd3,262144,49728,,2.088408000020081,0.8960759999467882,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,order0,262144,,32374.34568913005,,,,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,order1,262144,,32357.27594630991,,,,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,zeros,262144,,,,,,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,0,w3s,lz4_hc,262144,49134,,2259.372285999973,0.22107099999857382,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,zstd_10,262144,43481,,43.147094999994806,0.8015729999897303,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,
0,0,w3s,rans,262144,32378,,5.01269000000093,,True,,0bb0ec2d1eeaab088ba595dadc674a2646326e156d51e8837b58e739cd0b972d,model-excluded; decode ~ encode speed class
0,0,w2s,lz4_fast,262144,130009,,0.5777970000053756,0.5275240000059966,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,zstd_1,262144,51474,,2.20941899999616,1.2958519999983764,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,zstd_3,262144,49539,,2.010622999989664,1.0071980000248004,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,nib_split_zstd3,262144,49527,,2.520329999981641,0.9727720000114459,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,order0,262144,,32255.06685639761,,,,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,order1,262144,,32254.967395100175,,,,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,zeros,262144,,,,,,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,0,w2s,lz4_hc,262144,49047,,2245.092899000042,0.22668000002568078,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,zstd_10,262144,43613,,51.125377999994726,0.7704550000084964,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,
0,0,w2s,rans,262144,32259,,6.589308999991772,,True,,7c60715f1e31b4c2e64dfa01713c6293e7fa3af437e1d988be0a1b06cc01d579,model-excluded; decode ~ encode speed class
0,0,whole,lz4_fast,13369344,12970753,,8.854710000036903,12.887481000007028,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,zstd_1,13369344,12283326,,45.78604100004213,28.866639000000305,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,zstd_3,13369344,12294739,,89.82389000004787,26.565710999989278,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,nib_split_zstd3,13369344,13255208,,491.4557779999882,87.69753799998625,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,order0,13369344,,12688732.753325015,,,,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,order1,13369344,,11917410.321051382,,,,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,zeros,13369344,,,,,,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,"{""zero_frac"": 0.0041410408767999386, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
0,0,whole,lz4_hc,13369344,12728114,,8393.555737000042,17.632371999980023,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,0,whole,zstd_10,13369344,12262174,,142.59371200000714,25.61858299998221,True,,01a20140af983deb07fc2f8884abd61ec8d0201f022208f31d4c32b9d18a8828,
0,2,w1w,lz4_fast,4194304,4194339,,9.343445000013162,5.240748000005624,True,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,zstd_1,4194304,4045751,,17.46430599996529,9.98639700003423,True,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,zstd_3,4194304,4050742,,34.889593000002606,8.531405999974595,True,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,nib_split_zstd3,4194304,4364427,,201.04821199998923,31.934001999957218,True,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,order0,4194304,,4023929.601593687,,,,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,order1,4194304,,3938079.5413021324,,,,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,
0,2,w1w,zeros,4194304,,,,,,,d7d4b5085b8a0182eac3810420319b028e28aa73885288bd813e7c9ead354cb8,"{""zero_frac"": 0.004300832748413086, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
0,2,w3w,lz4_fast,4194304,4194339,,7.752863999996862,6.598755999959849,True,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
0,2,w3w,zstd_1,4194304,4045480,,13.431502000003093,8.11630900000182,True,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
0,2,w3w,zstd_3,4194304,4055844,,28.752099999962866,9.937118000038936,True,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
0,2,w3w,nib_split_zstd3,4194304,4363396,,196.2313589999667,30.936884000027476,True,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
0,2,w3w,order0,4194304,,4023793.2222759137,,,,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
0,2,w3w,order1,4194304,,3940808.0145785986,,,,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,
