scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,layer_lru,0.5,24,1927,5099,2679,2420,0.525397,540,0.474603,30.13,1928.4,6.49,5.38,5.09,0.63,0.38,0.27,0.16,24.0
full,cost_aware,0.5,24,1927,5099,2707,2392,0.530888,465,0.469112,29.78,1906.1,6.42,5.32,5.03,0.62,0.37,0.27,0.16,24.0
full,belady,0.5,24,1927,5099,2735,2364,0.53638,437,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,24.0
full,lru,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
full,engine_priority_lru,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
full,arc,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
full,lfu,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
full,static_freq,0.5,32,2570,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
full,static_layer_freq,0.5,32,2570,5099,4960,139,0.97274,0,0.02726,1.73,110.8,0.37,0.31,0.29,0.04,0.02,0.02,0.01,32.0
full,freq_lru,0.25,32,2570,5099,3377,1722,0.662287,0,0.337713,21.44,1372.2,4.62,3.83,3.62,0.45,0.27,0.19,0.11,32.0
full,freq_lru,0.5,32,2570,5099,4020,1079,0.78839,0,0.21161,13.43,859.8,2.9,2.4,2.27,0.28,0.17,0.12,0.07,32.0
full,freq_lru,0.75,32,2570,5099,4662,437,0.914297,0,0.085703,5.44,348.2,1.17,0.97,0.92,0.11,0.07,0.05,0.03,32.0
full,freq_lru_warmup,0.5,32,2570,5099,3964,1135,0.777407,0,0.222593,14.13,904.5,3.05,2.52,2.39,0.29,0.18,0.13,0.07,32.0
full,freq_x_recency,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
full,layer_lru,0.5,32,2570,5099,2723,2376,0.534026,151,0.465974,29.58,1893.4,6.38,5.28,5.0,0.62,0.37,0.26,0.15,32.0
full,cost_aware,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,32.0
