scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac
full,belady,0.5,32,2570,5099,2735,2364,0.53638,0,0.46362
full,lru,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,engine_priority_lru,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,arc,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,lfu,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,static_freq,0.5,48,3855,5099,5099,0,1.0,0,0.0
full,static_layer_freq,0.5,48,3855,5099,5071,28,0.994509,0,0.005491
full,freq_lru,0.25,48,3855,5099,3698,1401,0.72524,0,0.27476
full,freq_lru,0.5,48,3855,5099,4662,437,0.914297,0,0.085703
full,freq_lru,0.75,48,3855,5099,5099,0,1.0,0,0.0
full,freq_lru_warmup,0.5,48,3855,5099,3964,1135,0.777407,0,0.222593
full,freq_x_recency,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,layer_lru,0.5,48,3855,5099,2735,2364,0.53638,28,0.46362
full,cost_aware,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,belady,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362
full,lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,engine_priority_lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,arc,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,lfu,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,static_freq,0.5,64,5140,5099,5099,0,1.0,0,0.0
full,static_layer_freq,0.5,64,5140,5099,5099,0,1.0,0,0.0
full,freq_lru,0.25,64,5140,5099,4020,1079,0.78839,0,0.21161
full,freq_lru,0.5,64,5140,5099,5099,0,1.0,0,0.0
full,freq_lru,0.75,64,5140,5099,5099,0,1.0,0,0.0
full,freq_lru_warmup,0.5,64,5140,5099,3964,1135,0.777407,0,0.222593
full,freq_x_recency,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,layer_lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,cost_aware,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,belady,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362
full,lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,engine_priority_lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,arc,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,lfu,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,static_freq,0.5,96,7710,5099,5099,0,1.0,0,0.0
full,static_layer_freq,0.5,96,7710,5099,5099,0,1.0,0,0.0
full,freq_lru,0.25,96,7710,5099,4662,437,0.914297,0,0.085703
full,freq_lru,0.5,96,7710,5099,5099,0,1.0,0,0.0
full,freq_lru,0.75,96,7710,5099,5099,0,1.0,0,0.0
full,freq_lru_warmup,0.5,96,7710,5099,3964,1135,0.777407,0,0.222593
full,freq_x_recency,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,layer_lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,cost_aware,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,belady,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362
full,lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,engine_priority_lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,arc,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,lfu,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,static_freq,0.5,128,10280,5099,5099,0,1.0,0,0.0
full,static_layer_freq,0.5,128,10280,5099,5099,0,1.0,0,0.0
full,freq_lru,0.25,128,10280,5099,5099,0,1.0,0,0.0
full,freq_lru,0.5,128,10280,5099,5099,0,1.0,0,0.0
full,freq_lru,0.75,128,10280,5099,5099,0,1.0,0,0.0
full,freq_lru_warmup,0.5,128,10280,5099,3964,1135,0.777407,0,0.222593
full,freq_x_recency,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,layer_lru,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,cost_aware,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
full,belady,0.5,128,10280,5099,2735,2364,0.53638,0,0.46362
gpu0,lru,0.5,1,80,2613,0,2613,0.0,2533,1.0
gpu0,engine_priority_lru,0.5,1,80,2613,108,2505,0.041332,2425,0.958668
gpu0,arc,0.5,1,80,2613,0,2613,0.0,2533,1.0
gpu0,lfu,0.5,1,80,2613,374,2239,0.143131,2159,0.856869
gpu0,static_freq,0.5,1,80,2613,675,1938,0.258324,0,0.741676
gpu0,static_layer_freq,0.5,1,80,2613,218,2395,0.083429,0,0.916571
gpu0,freq_lru,0.25,1,80,2613,223,2390,0.085343,2330,0.914657
gpu0,freq_lru,0.5,1,80,2613,395,2218,0.151167,2178,0.848833
gpu0,freq_lru,0.75,1,80,2613,548,2065,0.209721,2045,0.790279
gpu0,freq_lru_warmup,0.5,1,80,2613,59,2554,0.022579,2514,0.977421
gpu0,freq_x_recency,0.5,1,80,2613,334,2279,0.127822,2199,0.872178
gpu0,layer_lru,0.5,1,80,2613,0,2613,0.0,2591,1.0
gpu0,cost_aware,0.5,1,80,2613,0,2613,0.0,2533,1.0
gpu0,belady,0.5,1,80,2613,762,1851,0.291619,1771,0.708381
gpu0,lru,0.5,2,160,2613,499,2114,0.190968,1954,0.809032
gpu0,engine_priority_lru,0.5,2,160,2613,229,2384,0.087639,2224,0.912361
gpu0,arc,0.5,2,160,2613,414,2199,0.158439,2039,0.841561
gpu0,lfu,0.5,2,160,2613,645,1968,0.246843,1808,0.753157
gpu0,static_freq,0.5,2,160,2613,1040,1573,0.39801,0,0.60199
gpu0,static_layer_freq,0.5,2,160,2613,538,2075,0.205894,0,0.794106
gpu0,freq_lru,0.25,2,160,2613,678,1935,0.259472,1815,0.740528
gpu0,freq_lru,0.5,2,160,2613,679,1934,0.259855,1854,0.740145
gpu0,freq_lru,0.75,2,160,2613,880,1733,0.336778,1693,0.663222
gpu0,freq_lru_warmup,0.5,2,160,2613,118,2495,0.045159,2415,0.954841
gpu0,freq_x_recency,0.5,2,160,2613,584,2029,0.223498,1869,0.776502
gpu0,layer_lru,0.5,2,160,2613,3,2610,0.001148,2544,0.998852
gpu0,cost_aware,0.5,2,160,2613,499,2114,0.190968,1954,0.809032
gpu0,belady,0.5,2,160,2613,1089,1524,0.416762,1364,0.583238
gpu0,lru,0.5,3,240,2613,657,1956,0.251435,1716,0.748565
gpu0,engine_priority_lru,0.5,3,240,2613,293,2320,0.112132,2080,0.887868
gpu0,arc,0.5,3,240,2613,564,2049,0.215844,1809,0.784156
gpu0,lfu,0.5,3,240,2613,766,1847,0.29315,1607,0.70685
gpu0,static_freq,0.5,3,240,2613,1281,1332,0.490241,0,0.509759
gpu0,static_layer_freq,0.5,3,240,2613,781,1832,0.29889,0,0.70111
gpu0,freq_lru,0.25,3,240,2613,809,1804,0.309606,1624,0.690394
gpu0,freq_lru,0.5,3,240,2613,1012,1601,0.387294,1481,0.612706
gpu0,freq_lru,0.75,3,240,2613,1120,1493,0.428626,1433,0.571374
gpu0,freq_lru_warmup,0.5,3,240,2613,213,2400,0.081515,2280,0.918485
gpu0,freq_x_recency,0.5,3,240,2613,746,1867,0.285496,1627,0.714504
gpu0,layer_lru,0.5,3,240,2613,123,2490,0.047072,2380,0.952928
gpu0,cost_aware,0.5,3,240,2613,657,1956,0.251435,1716,0.748565
gpu0,belady,0.5,3,240,2613,1232,1381,0.471489,1141,0.528511
gpu0,lru,0.5,3.5,281,2613,680,1933,0.260237,1652,0.739763
gpu0,engine_priority_lru,0.5,3.5,281,2613,329,2284,0.125909,2003,0.874091
gpu0,arc,0.5,3.5,281,2613,622,1991,0.238041,1710,0.761959
gpu0,lfu,0.5,3.5,281,2613,824,1789,0.315346,1508,0.684654
gpu0,static_freq,0.5,3.5,281,2613,1382,1231,0.528894,0,0.471106
gpu0,static_layer_freq,0.5,3.5,281,2613,880,1733,0.336778,0,0.663222
gpu0,freq_lru,0.25,3.5,281,2613,903,1710,0.34558,1499,0.65442
gpu0,freq_lru,0.5,3.5,281,2613,1100,1513,0.420972,1372,0.579028
gpu0,freq_lru,0.75,3.5,281,2613,1250,1363,0.478377,1292,0.521623
gpu0,freq_lru_warmup,0.5,3.5,281,2613,701,1912,0.268274,1771,0.731726
gpu0,freq_x_recency,0.5,3.5,281,2613,831,1782,0.318025,1501,0.681975
gpu0,layer_lru,0.5,3.5,281,2613,361,2252,0.138155,2120,0.861845
gpu0,cost_aware,0.5,3.5,281,2613,680,1933,0.260237,1652,0.739763
gpu0,belady,0.5,3.5,281,2613,1273,1340,0.487179,1059,0.512821
