prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,13,decode,cuda:0,132,3,129,129,50,82,82,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,86,40,40,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,58,74,74,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,86,40,40,priority_lru,fp16,1
q0,0,15,decode,cuda:0,132,4,128,128,65,67,67,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,87,39,39,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,1000,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,44,214,214,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,76,182,182,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,130,128,128,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,140,118,118,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,146,112,112,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,137,121,121,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,159,99,99,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,141,117,117,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,124,134,134,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,123,135,135,priority_lru,fp16,1
q0,0,11,decode,pooled,258,7,251,251,140,118,118,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,116,142,142,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,136,122,122,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,144,114,114,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,152,106,106,priority_lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,83,49,49,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,79,47,47,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,69,63,63,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,83,43,43,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,79,53,53,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,84,42,42,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,77,55,55,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,93,33,33,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,74,58,58,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,100,26,26,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,71,61,61,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,92,34,34,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,76,56,56,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,98,28,28,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,81,51,51,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,87,39,39,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,64,68,68,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,73,59,59,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,89,43,43,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,62,70,70,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,98,28,28,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,87,45,45,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,104,22,22,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,76,56,56,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,107,19,19,priority_lru,fp16,1
q0,0,15,decode,cuda:0,132,4,128,128,86,46,46,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,105,21,21,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,162,96,96,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,152,106,106,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,163,95,95,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,170,88,88,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,174,84,84,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,163,95,95,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,174,84,84,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,168,90,90,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,150,108,108,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,149,109,109,priority_lru,fp16,1
q0,0,11,decode,pooled,258,7,251,251,182,76,76,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,160,98,98,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,191,67,67,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,183,75,75,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,191,67,67,priority_lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,0,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,0,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,90,42,0,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,91,35,0,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,93,39,0,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,91,35,0,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,90,42,0,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,88,38,0,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,103,29,0,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,100,26,0,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,87,45,0,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,104,22,0,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,76,56,0,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,95,31,0,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,85,47,0,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,99,27,0,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,85,47,0,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,90,36,0,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,72,60,0,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,93,33,0,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,89,43,0,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,79,47,0,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,93,39,0,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,98,28,0,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,96,36,21,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,107,19,0,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,99,33,33,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,106,20,0,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,90,42,42,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,111,15,0,priority_lru,fp16,1
q0,0,15,decode,cuda:0,132,4,128,128,96,36,36,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,109,17,0,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,0,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,181,77,0,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,184,74,0,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,178,80,0,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,203,55,0,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,191,67,0,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,171,87,0,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,184,74,0,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,175,83,0,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,165,93,0,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,168,90,0,priority_lru,fp16,1
